Product_Brand,Product_Price,Product_Name,Product_Delivery_Date,Product_Return_Exchange,Product_Availability,Product_Rating,Product_No_Of_Rating,Product_Url
Exclusive_2020_1181,"₹43,999.00","OnePlus 9R 5G (Lake Blue, 12GB RAM, 256GB Storage)","Thursday, July 22",-,In stock.,4.3 out of 5,"11,027 ratings",https://www.amazon.in/Test-Exclusive_2020_1181-Multi-3GB-Storage/dp/B089MSK447/ref=sr_1_11?dchild=1&keywords=Mobile+phone+above+30000+rupees&qid=1626713168&sr=8-11
OnePlus 9R,"₹39,999.00","OnePlus 9R 5G (Lake Blue, 8GB RAM, 128GB Storage)",July 22 - 23,-,-,4.3 out of 5,"11,027 ratings",https://www.amazon.in/Test-Exclusive_2020_1180-Multi-3GB-Storage/dp/B089MT34QL/ref=sr_1_12?dchild=1&keywords=Mobile+phone+above+30000+rupees&qid=1626713168&sr=8-12
Mi 11X,-,Mi 11X 5G Cosmic Black 8GB RAM 128GB ROM | SD 870 | DisplayMate A+ rated E4 AMOLED|Upto 5000 Additional Exchange,"Sunday, July 25","₹3,000.00 (9%)",In stock.,4 out of 5,"2,872 ratings",https://www.amazon.in/11X-Cosmic-Black-128GB-Storage/dp/B085J1DRPG/ref=sr_1_13?dchild=1&keywords=Mobile+phone+above+30000+rupees&qid=1626713168&sr=8-13
"IQOO 7 5G (Storm Black, 12GB RAM, 256GB Storage)","₹35,990.00","iQOO 7 5G (Storm Black, 12GB RAM, 256GB Storage)| Upto 9 Months No Cost EMI | 3GB Extended RAM | Extra Rs.2000 Off on Exchange","Saturday, July 24","₹4,000.00 (10%)",In stock.,4.5 out of 5,"4,760 ratings",https://www.amazon.in/iqoo7/dp/B086978F35/ref=sr_1_14?dchild=1&keywords=Mobile+phone+above+30000+rupees&qid=1626713168&sr=8-14
"IQOO 7 5G (Storm Black, 8GB RAM, 128GB Storage)","₹31,990.00","iQOO 7 5G (Storm Black, 8GB RAM, 128GB Storage)| Upto 9 Months No Cost EMI | 3GB Extended RAM | Extra Rs.2000 Off on Exchange","Saturday, July 24","₹3,000.00 (9%)",In stock.,4.5 out of 5,"4,760 ratings",https://www.amazon.in/iQOO-Storm-Black-128GB-Storage/dp/B085J1RJV6/ref=sr_1_15?dchild=1&keywords=Mobile+phone+above+30000+rupees&qid=1626713168&sr=8-15
"IQOO 7 5G (Storm Black, 8GB RAM, 256GB Storage)","₹33,990.00","iQOO 7 5G (Storm Black, 8GB RAM, 256GB Storage)| Upto 9 Months No Cost EMI | 3GB Extended RAM | Extra Rs.2000 Off on Exchange","Wednesday, July 21","₹4,000.00 (11%)",In stock.,4.5 out of 5,"4,760 ratings",https://www.amazon.in/iQOO-Storm-Black-256GB-Storage/dp/B085J17VVQ/ref=sr_1_16?dchild=1&keywords=Mobile+phone+above+30000+rupees&qid=1626713168&sr=8-16
Exclusive_2020_1178,-,"OnePlus 9R 5G (Carbon Black, 8GB RAM, 128GB Storage)","Wednesday, July 21",-,In stock.,4.3 out of 5,"11,027 ratings",https://www.amazon.in/Test-Exclusive_2020_1178-Multi-3GB-Storage/dp/B089MTJVLD/ref=sr_1_17?dchild=1&keywords=Mobile+phone+above+30000+rupees&qid=1626713174&sr=8-17
IPhone 12 64GB (PRODUCT)RED,"₹72,900.00",New Apple iPhone 12 (64GB) - (Product) RED,"Wednesday, July 21","₹7,000.00 (9%)",In stock.,4.6 out of 5,-,https://www.amazon.in/New-Apple-iPhone-12-64GB/dp/B08L5TGWD1/ref=sr_1_18?dchild=1&keywords=Mobile+phone+above+30000+rupees&qid=1626713174&sr=8-18
OnePlus 8T 5G,"₹41,999.00","OnePlus 8T 5G (Aquamarine Green, 12GB RAM, 256GB Storage)","Friday, July 30","₹4,000.00 (9%)",In stock.,4.4 out of 5,"20,943 ratings",https://www.amazon.in/OnePlus-Mirror-Black-128GB-Storage/dp/B085J19V4P/ref=sr_1_19?dchild=1&keywords=Mobile+phone+above+30000+rupees&qid=1626713174&sr=8-19
"IQOO 7 5G (Solid Ice Blue, 12GB RAM, 256GB Storage)","₹35,990.00","iQOO 7 5G (Solid Ice Blue, 12GB RAM, 256GB Storage)| Upto 9 Months No Cost EMI | 3GB Extended RAM | Extra Rs.2000 Off on Exchange","Saturday, July 24","₹4,000.00 (10%)",In stock.,4.5 out of 5,"4,760 ratings",https://www.amazon.in/iqoo7/dp/B08697QP9B/ref=sr_1_20?dchild=1&keywords=Mobile+phone+above+30000+rupees&qid=1626713174&sr=8-20
"IQOO 7 5G (Solid Ice Blue, 8GB RAM, 256GB Storage)","₹33,990.00","iQOO 7 5G (Solid Ice Blue, 8GB RAM, 256GB Storage)| Upto 9 Months No Cost EMI | 3GB Extended RAM | Extra Rs.2000 Off on Exchange","Wednesday, July 21","₹4,000.00 (11%)",In stock.,4.5 out of 5,"4,760 ratings",https://www.amazon.in/iQOO-Solid-Blue-256GB-Storage/dp/B085J3GN6X/ref=sr_1_21?dchild=1&keywords=Mobile+phone+above+30000+rupees&qid=1626713174&sr=8-21
